country_iso3,hs_code,name_ko,mfn_rate_display
BGD,01012100,-- 번식용,5%
BGD,01012900,-- 기타,5%
BGD,01013000,- 당나귀,5%
BGD,01019000,- 기타,5%
BGD,01022100,-- 번식용,0%
BGD,01022900,-- 기타,0%
BGD,01023100,-- 번식용,0%
BGD,01023900,-- 기타,0%
BGD,01029010,--- 순종 번식 동물,0%
BGD,01029090,--- 기타,0%
BGD,01031000,- 번식용,5%
BGD,01039100,-- 중량이 50킬로그램 미만인 것,5%
BGD,01039200,-- 중량이 50킬로그램 이상인 것,5%
BGD,01041000,- 면양,5%
BGD,01042000,- 염소,5%
BGD,01051110,--- 하루 병아리의 모계,0%
BGD,01051190,--- 기타,25%
BGD,01051210,--- 하루 병아리의 모계,0%
BGD,01051290,--- 기타,25%
BGD,01051310,--- 하루 병아리의 모계,0%
BGD,01051390,--- 기타,25%
BGD,01051410,--- 하루 병아리의 모계,0%
BGD,01051490,--- 기타,25%
BGD,01051510,--- 하루 병아리의 모계,0%
BGD,01051590,--- 기타,25%
BGD,01059400,-- 닭[갈루스 도메스티쿠스(Gallus domesticus)종으로 한정한다],25%
BGD,01059900,-- 기타,25%
BGD,01061100,-- 영장류,5%
BGD,01061200,"-- 고래ㆍ돌고래ㆍ쇠돌고래(고래목의 포유동물), 매너티ㆍ듀공(바다소목의 포유동물), 물개ㆍ바다사자ㆍ바다코끼리(기각아목의 포유동물)",5%
BGD,01061300,-- 낙타와 그 밖의 낙타과의 동물[카멜리대(Camelidae)과],5%
BGD,01061400,-- 토끼,5%
BGD,01061900,-- 기타,5%
BGD,01062000,- 파충류(뱀과 거북을 포함한다),5%
BGD,01063100,-- 맹금류,25%
BGD,01063200,-- 앵무류[패럿류(parrots)ㆍ패러키트류(parakeets)ㆍ금강앵무류ㆍ유황앵무류를 포함한다],25%
BGD,01063300,-- 타조와 에뮤(emus)[드로마이어스 노배홀란디애(Dromaius novaehollandiae)],25%
BGD,01063900,-- 기타,25%
BGD,01064100,-- 벌,0%
BGD,01064900,-- 기타,5%
BGD,01069000,- 기타,5%
BGD,02011010,--- 최대 2.5kg까지 포장/통조림,25%
BGD,02011090,--- 기타,25%
BGD,02012010,--- 최대 2.5kg까지 포장/통조림,25%
BGD,02012090,--- 기타,25%
BGD,02013010,--- 최대 2.5kg까지 포장/통조림,25%
BGD,02013090,--- 기타,25%
BGD,02021010,--- 최대 2.5kg까지 포장/통조림,25%
BGD,02021090,--- 기타,25%
BGD,02022010,--- 최대 2.5kg까지 포장/통조림,25%
BGD,02022090,--- 기타,25%
BGD,02023010,--- 최대 2.5kg까지 포장/통조림,25%
BGD,02023090,--- 기타,25%
BGD,02031110,--- 최대 2.5kg까지 포장/통조림,25%
BGD,02031190,--- 기타,25%
BGD,02031210,--- 최대 2.5kg까지 포장/통조림,25%
BGD,02031290,--- 기타,25%
BGD,02031910,--- 최대 2.5kg까지 포장/통조림,25%
BGD,02031990,--- 기타,25%
BGD,02032110,--- 최대 2.5kg까지 포장/통조림,25%
BGD,02032190,--- 기타,25%
BGD,02032210,--- 최대 2.5kg까지 포장/통조림,25%
BGD,02032290,--- 기타,25%
BGD,02032910,--- 최대 2.5kg까지 포장/통조림,25%
BGD,02032990,--- 기타,25%
BGD,02041010,--- 최대 2.5kg까지 포장/통조림,25%
BGD,02041090,--- 기타,25%
BGD,02042110,--- 최대 2.5kg까지 포장/통조림,25%
BGD,02042190,--- 기타,25%
BGD,02042210,--- 최대 2.5kg까지 포장/통조림,25%
BGD,02042290,--- 기타,25%
BGD,02042310,--- 최대 2.5kg까지 포장/통조림,25%
BGD,02042390,--- 기타,25%
BGD,02043010,--- 최대 2.5kg까지 포장/통조림,25%
BGD,02043090,--- 기타,25%
BGD,02044110,--- 최대 2.5kg까지 포장/통조림,25%
BGD,02044190,--- 기타,25%
BGD,02044210,--- 최대 2.5kg까지 포장/통조림,25%
BGD,02044290,--- 기타,25%
BGD,02044310,--- 최대 2.5kg까지 포장/통조림,25%
BGD,02044390,--- 기타,25%
BGD,02045010,--- 최대 2.5kg까지 포장/통조림,25%
BGD,02045090,--- 기타,25%
BGD,02050010,--- 최대 2.5kg까지 포장/통조림,25%
BGD,02050090,--- 기타,25%
BGD,02061010,--- 최대 2.5kg까지 포장/통조림,25%
BGD,02061090,--- 기타,25%
BGD,02062110,--- 최대 2.5kg까지 포장/통조림,25%
BGD,02062190,--- 기타,25%
BGD,02062210,--- 최대 2.5kg까지 포장/통조림,25%
BGD,02062290,--- 기타,25%
BGD,02062910,--- 최대 2.5kg까지 포장/통조림,25%
BGD,02062990,--- 기타,25%
BGD,02063010,--- 최대 2.5kg까지 포장/통조림,25%
BGD,02063090,--- 기타,25%
BGD,02064110,--- 최대 2.5kg까지 포장/통조림,25%
BGD,02064190,--- 기타,25%
BGD,02064910,--- 최대 2.5kg까지 포장/통조림,25%
BGD,02064990,--- 기타,25%
BGD,02068010,--- 최대 2.5kg까지 포장/통조림,25%
BGD,02068090,--- 기타,25%
BGD,02069010,--- 최대 2.5kg까지 포장/통조림,25%
BGD,02069090,--- 기타,25%
BGD,02071110,--- 최대 2.5kg까지 포장/통조림,25%
BGD,02071190,--- 기타,25%
BGD,02071210,--- 최대 2.5kg까지 포장/통조림,25%
BGD,02071290,--- 기타,25%
BGD,02071310,--- 최대 2.5kg까지 포장/통조림,25%
BGD,02071390,--- 기타,25%
BGD,02071410,--- 최대 2.5kg까지 포장/통조림,25%
BGD,02071490,--- 기타,25%
BGD,02072410,--- 최대 2.5kg까지 포장/통조림,25%
BGD,02072490,--- 기타,25%
BGD,02072510,--- 최대 2.5kg까지 포장/통조림,25%
BGD,02072590,--- 기타,25%
BGD,02072610,--- 최대 2.5kg까지 포장/통조림,25%
BGD,02072690,--- 기타,25%
BGD,02072710,--- 최대 2.5kg까지 포장/통조림,25%
BGD,02072790,--- 기타,25%
BGD,02074110,--- 최대 2.5kg까지 포장/통조림,25%
BGD,02074190,--- 기타,25%
BGD,02074210,--- 최대 2.5kg까지 포장/통조림,25%
BGD,02074290,--- 기타,25%
BGD,02074310,--- 최대 2.5kg까지 포장/통조림,25%
BGD,02074390,--- 기타,25%
BGD,02074410,--- 최대 2.5kg까지 포장/통조림,25%
BGD,02074490,--- 기타,25%
BGD,02074510,--- 최대 2.5kg까지 포장/통조림,25%
BGD,02074590,--- 기타,25%
BGD,02075110,--- 최대 2.5kg까지 포장/통조림,25%
BGD,02075190,--- 기타,25%
BGD,02075210,--- 최대 2.5kg까지 포장/통조림,25%
BGD,02075290,--- 기타,25%
BGD,02075310,--- 최대 2.5kg까지 포장/통조림,25%
BGD,02075390,--- 기타,25%
