번호,H S K,한 글 품 명,영 문 품 명,칠레,싱가 포르,EFTA,아세안,인도,EU (25.7.1~ 26.6.30),EU (26.7.1~ 27.6.30),페루,미국,콜롬 비아,튀르 키예,캐나다,호주,베트남,중국,뉴질 랜드,중미- 코스타리카,중미- 엘살바도르,중미- 온두 라스,중미-니카 라과,중미-파나마,영국 (25.7.1~ 26.6.30),영국 (26.7.1~ 27.6.30),인도네시아,이스 라엘,캄보 디아,RCEP- 뉴질 랜드,RCEP- 아세안,RCEP- 일본,RCEP- 중국,RCEP- 호주,필리핀,UAE
1,0101.21.1000,말(번식용/농가사육용),Horses : Pure-bred breeding animals (For farm breeding),0,0,6.4 (IS 4),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0101.21.9000,말(번식용/기타),Horses : Pure-bred breeding animals (Other),0,0,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,4,4,4,4,4,0,6.4
3,0101.29.1000,말(기타/경주말),Horses : Other (Horses for racing),0,0,0(NO 6.4),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,6.4
4,0101.29.9000,말(기타/기타),Horses : Other (Other),0,0,4(NO 6.4),0,0,0,0,0,0,0,0,0,0,0,3.2,0,0,0,0,0,0,0,0,0,1.6,0,5.3,5.3,5.3,5.3,5.3,0,6.4
5,0101.30.0000,당나귀,Asses,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,0,0,0,,0,,,,,,0,
6,0101.90.0000,기타(기타),Other,0,0,4(NO 6.4),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,0,6.4
7,0102.21.1000,축우(번식용/젖소),Cattle : Pure-bred breeding animals (For milk),0,0,미양허(CH 0),0,0,0,0,0,0,0,89.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0102.21.2000,축우(번식용/육우),Cattle : Pure-bred breeding animals (For meat),0,0,미양허(CH 0),0,0,0,0,0,0,0,89.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0102.21.9000,축우(번식용/기타),Cattle : Pure-bred breeding animals (Other),0,0,미양허(CH 0),0,0,0,0,0,0,0,89.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0102.29.1000,축우(기타/젖소),Cattle : Other (For milk),미양허,미양허,미양허,0,미양허,2.5,0,0,0,12.5,40,40,40,0,40,40,미양허,미양허,미양허,미양허,미양허,2.5,0,0,40,0,미양허,37.5,미양허,미양허,미양허,0,0
11,0102.29.2000,축우(기타/육우),Cattle : Other (For meat),미양허,미양허,미양허,32,미양허,2.5,0,0,0,12.5,40,40,40,32,40,40,미양허,미양허,미양허,미양허,미양허,2.5,0,32,40,32,미양허,미양허,미양허,미양허,미양허,미양허,0
12,0102.29.9000,축우(기타/기타),Cattle : Other (Other),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0102.31.0000,버팔로(번식용),Buffalo : Pure-bred breeding animals,0,0,미양허(CH 0),0,0,0,0,0,0,0,89.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0102.39.1000,버팔로(기타/젖소),Buffalo : Other (For milk),미양허,미양허,미양허,0,미양허,2.5,0,0,0,12.5,40,40,40,0,40,40,미양허,미양허,미양허,미양허,미양허,2.5,0,0,40,0,미양허,37.5,미양허,미양허,미양허,0,40
15,0102.39.2000,버팔로(기타/육우),Buffalo : Other (For meat),미양허,미양허,미양허,32,미양허,2.5,0,0,0,12.5,40,40,40,32,40,40,미양허,미양허,미양허,미양허,미양허,2.5,0,32,40,32,미양허,미양허,미양허,미양허,미양허,미양허,40
16,0102.39.9000,버팔로(기타/기타),Buffalo : Other (Other),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0102.90.1000,기타(번식용),Other (Pure-bred breeding animals),0,0,미양허(CH 0),0,0,0,0,0,0,0,89.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0102.90.9010,기타(기타/젖소),Other : Other (For milk),미양허,미양허,미양허,0,미양허,2.5,0,0,0,12.5,40,40,40,0,40,40,미양허,미양허,미양허,미양허,미양허,2.5,0,0,40,0,미양허,37.5,미양허,미양허,미양허,0,40
19,0102.90.9020,기타(기타/육우),Other : Other (For meat),미양허,미양허,미양허,32,미양허,2.5,0,0,0,12.5,40,40,40,32,40,40,미양허,미양허,미양허,미양허,미양허,2.5,0,32,40,32,미양허,미양허,미양허,미양허,미양허,미양허,40
20,0102.90.9090,기타(기타/기타),Other : Other (Other),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0103.10.0000,돼지(번식용),Swine : Pure-bred breeding animals,0,0,0(CH 미양허),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0103.91.0000,돼지(기타/중량 50㎏ 미만),Swine : Other (Weighing less than 50㎏),미양허,미양허,미양허,0,미양허,0,0,0,0,5.6,18,0,0,0,18,0,미양허,미양허,미양허,미양허,미양허,0,0,0,18,0,16.9,16.9,미양허,미양허,16.9,0,18
23,0103.92.0000,돼지(기타/중량 50㎏ 이상),Swine : Other (Weighing 50㎏ or more),미양허,미양허,미양허,0,미양허,0,0,0,0,5.6,18,0,0,0,18,0,미양허,미양허,미양허,미양허,미양허,0,0,0,18,0,16.9,16.9,미양허,미양허,16.9,0,18
24,0104.10.1000,면양(번식용),Sheep : Pure-bred breeding animals,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0104.10.9000,면양(기타),Sheep : Other,0,0,4,0,0,0,0,0,0,0,0,0,1,0,3.2,0,0,0,0,0,0,0,0,0,1.6,0,5.3,5.3,5.3,5.3,5.3,0,0
26,0104.20.1000,염소(유용),Goats : Milch goats,0,0,6.4,0,0,0,0,0,0,0,0,0,0,0,3.2,0,0,0,0,0,0,0,0,0,1.6,0,5.3,5.3,5.3,5.3,5.3,0,0
27,0104.20.9000,염소(기타),Goats : Other,0,0,6.4,0,0,0,0,0,0,0,0,0,0,0,3.2,0,0,0,0,0,0,0,0,0,1.6,0,5.3,5.3,5.3,5.3,5.3,0,0
28,0105.11.1000,닭-갈루스 도메스티쿠스 종에 한함-(185g 이하/번식용),Fowls of the species Gallus domesticus : not more than 185g (Pure-bred breeding animals),0,0,0(CH 미양허),0,0,0,0,0,0,0,0,0,1.2,0,0,1.8,0,0,0,0,0,0,0,0,0,0,4.5,4.5,4.5,4.5,4.5,0,0
29,0105.11.9000,닭-갈루스 도메스티쿠스 종에 한함-(185g 이하/기타),Fowls of the species Gallus domesticus : not more than 185g (Other),0,0,7.2 (CH 미양허),0,미양허,0,0,0,0,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,1.8,0,8.4,8.4,미양허,미양허,8.4,0,0
30,0105.12.0000,칠면조(185g 이하),Turkeys : not more than 185g,0,0,7.2 (CH 미양허),0,0,0,0,0,0,0,0,0,0,0,3.6,0,0,0,0,0,0,0,0,0,1.8,0,6,6,6,6,6,0,0
31,0105.13.1000,오리(185g 이하/번식용),Ducks : not more than 185g (Pure-bred breeding animals),미양허,미양허,미양허,0,미양허,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0105.13.9000,오리(185g 이하/기타),Ducks : not more than 185g (Other),미양허,미양허,미양허,0,미양허,0,0,0,0,0,0,0,0,0,18,0,3.6,5.4,3.6,3.6,7.2,0,0,0,10.8,0,16.9,16.9,미양허,미양허,16.9,0,14.4
